Ticker,Date,Headline,Sentiment,Confidence,Close,Volume,Sentiment_Score
AAPL,2026-05-09,Paul Tudor Jones Warns Trump-Era Market Boom Could End in a 35% Crash. Here’s Why He’s Still Buying Stocks,neutral,0.7,293.32,52631200,0
AAPL,2026-05-09,Analysts turn heads with AMD stock forecast after massive rally,negative,0.61,293.32,52631200,-1
AAPL,2026-05-09,25 Health Brand Campaigns That Redefined Digital Marketing,neutral,0.87,293.32,52631200,0
AAPL,2026-05-09,Apple Looking to Add MacBook Neo To Deal with a Potential Increase in Price,positive,0.9,293.32,52631200,1
AAPL,2026-05-09,Samsung Achieves $1 Trillion Valuation,positive,0.5,293.32,52631200,1
AAPL,2026-05-09,"Intel soars on Apple chip deal, lifting S&P 500 and NASDAQ to record highs",positive,0.89,293.32,52631200,1
AAPL,2026-05-09,PipeDream on the Acorn Archimedes,neutral,0.85,293.32,52631200,0
AAPL,2026-05-09,Intel CEO who won over Trump and Musk now needs a breakthrough,neutral,0.91,293.32,52631200,0
AAPL,2026-05-09,(Video) Arne Slot will have loved what Rio Ngumoha did just before Ryan Gravenberch goal,neutral,0.82,293.32,52631200,0
AAPL,2026-05-09,PayPal Faces a Brutal Reality: 3 Real Problems Hurting the Stock Now,negative,0.95,293.32,52631200,-1
GOOGL,2026-05-09,Is Cathie Wood Still Hopeful About Tesla (TSLA)?,neutral,0.85,400.8,21432500,0
GOOGL,2026-05-09,This is Why Spire Inc. (SR) is a High Growth Utility Stock to Buy,neutral,0.79,400.8,21432500,0
GOOGL,2026-05-09,PPL Corporation (PPL) A High Growth Utility Stock to Buy on Nuclear Energy Push,neutral,0.8,400.8,21432500,0
GOOGL,2026-05-09,Micron stock sends a strong signal amid chip shortage,positive,0.92,400.8,21432500,1
GOOGL,2026-05-09,Jim Cramer on Meta: “I Think It’s Time to Stop Worrying and Start Buying”,neutral,0.54,400.8,21432500,0
GOOGL,2026-05-09,Jim Cramer on Goldman Sachs: “I Think That It’s Going Higher”,positive,0.86,400.8,21432500,1
GOOGL,2026-05-09,Jim Cramer on Salesforce: “It’s Tough Because the Market Hates Software”,negative,0.6,400.8,21432500,-1
GOOGL,2026-05-09,Jim Cramer Says “You Can’t Really Teach an Old Dog New Tricks Unless It’s a Datadog”,neutral,0.9,400.8,21432500,0
GOOGL,2026-05-09,CEO Sundar Pichai Says Google Is Having a ‘Terrific Start’ to the Year. Mag-7 Investors Agree as GOOGL Stock Leads the Way.,positive,0.92,400.8,21432500,1
GOOGL,2026-05-09,PipeDream on the Acorn Archimedes,neutral,0.85,400.8,21432500,0
MSFT,2026-05-09,Paul Tudor Jones Warns Trump-Era Market Boom Could End in a 35% Crash. Here’s Why He’s Still Buying Stocks,neutral,0.7,415.12,33304300,0
MSFT,2026-05-09,Microsoft Deal Strengthens Black Hills Corporation (BKH) Prospects as a High Growth Utility Stock to Buy,positive,0.95,415.12,33304300,1
MSFT,2026-05-09,Micron stock sends a strong signal amid chip shortage,positive,0.92,415.12,33304300,1
MSFT,2026-05-09,Goldman Sachs spots a troubling big tech trend,negative,0.96,415.12,33304300,-1
MSFT,2026-05-09,Jim Cramer on Salesforce: “It’s Tough Because the Market Hates Software”,negative,0.6,415.12,33304300,-1
MSFT,2026-05-09,PipeDream on the Acorn Archimedes,neutral,0.85,415.12,33304300,0
